ProteinA	ProteinB	DomainA	DomainB
P49674	O15169	PF00069	PF00615
P49674	P49674	PF00069	PF00069
P49682	Q07325	PF00001	PF00048
P49715	P49715	PF07716	PF07716
P49721	P49720	PF00227	PF00227
P49721	P28074	PF00227	PF00227
P49754	Q9P253	PF00637	PF00637
P49760	P49761	PF00069	PF00069
P49760	P49760	PF00069	PF00069
P49760	Q8TAD8	PF00069	PF00498
P49761	P49761	PF00069	PF00069
P49761	Q13595	PF00069	PF00076
P49763	P49763	PF00341	PF00341
P49768	Q9NZ42	PF01080	PF10251
P49768	Q96BI3	PF01080	PF06105
P49768	P49768	PF01080	PF01080
P49789	P49789	PF01230	PF01230
P49795	P19086	PF00615	PF00503
P49795	P09471	PF00615	PF00503
P49795	P08754	PF00615	PF00503
P49795	P63096	PF00615	PF00503
P49796	P29992	PF00615	PF00503
P49798	P50148	PF00615	PF00503
P49798	P63096	PF00615	PF00503
P49840	Q14596	PF00069	PF00564
P49841	O15169	PF00069	PF00615
P49841	P17612	PF00069	PF00069
P49841	P49841	PF00069	PF00069
P49902	P49902	PF05761	PF05761
P49910	Q9NWS9	PF02023	PF02023
P50213	P51553	PF00180	PF00180
P50395	P61006	PF00996	PF00071
P50402	O75531	PF03020	PF02961
P50552	Q8N8S7	PF00568	PF00568
P50552	Q9UI08	PF00568	PF00568
P50613	P04608	PF00069	PF00539
P50613	P50613	PF00069	PF00069
P50750	Q4G0J3	PF00069	PF00076
P50750	P50750	PF00069	PF00069
P51149	Q96NA2	PF00071	PF11461
P51149	P20339	PF00071	PF00071
P51149	P61020	PF00071	PF00071
P51159	Q9HCH5	PF00071	PF02318
P51398	P82673	PF10236	PF10213
P51572	P51572	PF05529	PF05529
P51617	O14920	PF00069	PF00069
P51617	O15111	PF00069	PF00069
P51665	Q99460	PF13012	PF13646
P51665	P55036	PF01398	PF13519
P51668	Q9HCM9	PF00179	PF15227
P51668	Q9BV68	PF00179	PF13639
P51668	Q9UKV5	PF00179	PF13639
P51668	Q969V5	PF00179	PF13920
P51668	Q9P0P0	PF00179	PF13639
P51668	Q6PCD5	PF00179	PF13639
P51668	Q9Y3C5	PF00179	PF13639
P51668	Q6ZNA4	PF00179	PF13639
P51668	O43567	PF00179	PF13639
P51668	Q86XS8	PF00179	PF13639
P51668	Q9H6Y7	PF00179	PF13639
P51668	Q96BH1	PF00179	PF05773
P51668	P78317	PF00179	PF13639
P51668	Q9Y4L5	PF00179	PF13639
P51668	Q8ND25	PF00179	PF13639
P51668	P98170	PF00179	PF13920
P51668	Q96EQ8	PF00179	PF13923
P51668	Q99942	PF00179	PF13920
P51668	Q13064	PF00179	PF00097
P51668	P14373	PF00179	PF15227
P51668	Q99496	PF00179	PF13923
P51668	Q06587	PF00179	PF00097
P51668	Q9NVW2	PF00179	PF13639
P51668	Q96EP1	PF00179	PF13923
P51668	O60291	PF00179	PF13920
P51668	Q9Y577	PF00179	PF15227
P51668	Q9BZY9	PF00179	PF15227
P51668	Q00987	PF00179	PF13920
P51668	P51668	PF00179	PF00179
P51677	P13501	PF00001	PF00048
P51808	P51808	PF03645	PF03645
P51809	O15400	PF00957	PF05739
P51825	P50750	PF05110	PF00069
P51825	Q9UHB7	PF05110	PF05110
P51825	P51825	PF05110	PF05110
P51955	P51955	PF00069	PF00069
P51965	Q6ZNA4	PF00179	PF13639
P51965	Q86XS8	PF00179	PF13639
P51965	Q9H6Y7	PF00179	PF13639
P51965	Q96BH1	PF00179	PF05773
P51965	Q8ND25	PF00179	PF13639
P51965	Q9HCM9	PF00179	PF15227
P52435	P30876	PF13656	PF00562
P52564	Q9Y6R4	PF00069	PF00069
P52564	O43318	PF00069	PF07714
P52564	P46734	PF00069	PF00069
P52565	P61586	PF02115	PF00071
P52565	P63000	PF02115	PF00071
P52565	P08134	PF02115	PF00071
P52565	P15153	PF02115	PF00071
P52803	P29320	PF00812	PF01404
P52952	Q99593	PF00046	PF00907
P53350	O60566	PF00069	PF00069
P53365	P62330	PF06456	PF00025
P53365	P53365	PF06456	PF06456
P53567	P35638	PF07716	PF07716
P53567	P18848	PF07716	PF00170
P53618	P84077	PF01602	PF00025
P53618	P61923	PF01602	PF01217
P53779	P53779	PF00069	PF00069
P53803	P24928	PF03604	PF04997
P53999	P53999	PF02229	PF02229
P54105	P14678	PF03517	PF01423
P54105	P62316	PF03517	PF01423
P54105	P62304	PF03517	PF01423
P54105	P62306	PF03517	PF01423
P54105	P62308	PF03517	PF01423
P54132	Q13472	PF00270	PF01751
P54198	Q9Y294	PF09453	PF04729
P54253	P54253	PF08517	PF08517
P54646	O43741	PF00069	PF04739
P54725	Q05086	PF00240	PF00632
P54920	Q86Y82	PF14938	PF05739
P54920	O15400	PF14938	PF05739
P54920	P46459	PF14938	PF02359
P54920	P63027	PF14938	PF00957
P55196	Q9NQS3	PF00595	PF07686
P55209	Q99733	PF00956	PF00956
P55211	Q9C000	PF00619	PF00619
P55212	P55212	PF00656	PF00656
P55789	P55789	PF04777	PF04777
P55854	Q9HC62	PF11976	PF02902
P55884	P23443	PF00076	PF00069
P55884	Q8N122	PF08662	PF00400
P55884	O75821	PF00076	PF00076
P55957	Q16548	PF06393	PF00452
P55957	P10415	PF06393	PF00452
P56279	P56279	PF01840	PF01840
P56537	P39023	PF01912	PF00297
P56597	Q8WWB3	PF05186	PF05186
P56597	Q96IM9	PF05186	PF05186
P57075	P00533	PF14604	PF07714
P57086	Q9NX65	PF02023	PF02023
P57086	Q9P0L1	PF02023	PF02023
P57086	Q8NF99	PF02023	PF02023
P57735	Q7L804	PF00071	PF09457
P57735	Q9BXF6	PF00071	PF09457
P57740	Q8WUM0	PF04121	PF03177
P57740	P52948	PF04121	PF12110
P57775	Q13616	PF12937	PF00888
P60228	Q9UBQ5	PF01399	PF10075
P60228	Q9Y262	PF01399	PF10255
P60484	P68400	PF00782	PF00069
P60510	Q14738	PF00149	PF01603
P60520	Q9GZZ9	PF02991	PF00899
P60520	Q9Y4P1	PF02991	PF03416
P60604	Q9UKV5	PF00179	PF13639
P60604	P60604	PF00179	PF00179
P60709	P23528	PF00022	PF00241
P60709	Q9Y281	PF00022	PF00241
P60709	P60709	PF00022	PF00022
P60709	P60981	PF00022	PF00241
P60709	P63261	PF00022	PF00022
P60896	Q5JVF3	PF05160	PF01399
P60896	O43242	PF05160	PF01399
P60896	O00231	PF05160	PF01399
P60896	O00232	PF05160	PF01399
P60896	Q9UNM6	PF05160	PF01399
P60900	Q06323	PF10584	PF02252
P60900	P62191	PF00227	PF00004
P60903	P60903	PF01023	PF01023
P61024	P24941	PF01111	PF00069
P61026	P61006	PF00071	PF00071
P61077	Q9HCM9	PF00179	PF15227
P61077	Q9BV68	PF00179	PF13639
P61077	Q6ZN04	PF00179	PF13920
P61077	Q96EQ8	PF00179	PF13923
P61077	Q9UKV5	PF00179	PF13639
P61077	Q969V5	PF00179	PF13920
P61077	Q6PCD5	PF00179	PF13639
P61077	Q9Y3C5	PF00179	PF13639
P61077	Q6ZNA4	PF00179	PF13639
P61077	Q86XS8	PF00179	PF13639
P61077	Q96BH1	PF00179	PF05773
P61077	Q9BY78	PF00179	PF13920
P61077	Q68DV7	PF00179	PF13639
P61077	P78317	PF00179	PF13639
P61077	Q9NS56	PF00179	PF13923
P61077	Q9Y4L5	PF00179	PF13639
P61077	Q8ND25	PF00179	PF13639
P61077	P98170	PF00179	PF13920
P61077	O94941	PF00179	PF04564
P61077	Q99942	PF00179	PF13920
P61077	P14373	PF00179	PF15227
P61077	Q99496	PF00179	PF13923
P61077	Q9Y4K3	PF00179	PF13923
P61077	Q9NZS9	PF00179	PF15227
P61077	Q96EP1	PF00179	PF13923
P61077	Q9Y577	PF00179	PF15227
P61077	Q9BZY9	PF00179	PF15227
P61077	O00308	PF00179	PF00632
P61077	P61077	PF00179	PF00179
P61077	Q96FW1	PF00179	PF10275
P61086	Q99496	PF00179	PF13923
P61086	Q8WVD3	PF00179	PF13923
P61086	Q99942	PF00179	PF13920
P61086	Q8N9I9	PF00179	PF13923
P61086	Q9HCM9	PF00179	PF15227
P61086	Q00987	PF00179	PF13920
P61088	Q13404	PF00179	PF00179
P61088	Q9UKV5	PF00179	PF13639
P61088	Q13489	PF00179	PF13920
P61088	O00237	PF00179	PF13639
P61088	Q9Y3C5	PF00179	PF13639
P61088	Q8ND25	PF00179	PF13639
P61088	Q8NHG8	PF00179	PF13639
P61088	Q9UNE7	PF00179	PF04564
P61088	P61088	PF00179	PF00179
P61163	Q9NZ32	PF00022	PF00022
P61204	P53367	PF00025	PF06456
P61225	Q59EK9	PF00071	PF02759
P61244	P50539	PF00010	PF00010
P61244	Q05195	PF00010	PF00010
P61244	P61244	PF00010	PF00010
P61244	Q8IWI9	PF00010	PF00010
P61289	P25786	PF02252	PF10584
P61326	O15234	PF02792	PF09405
P61326	Q9BRP8	PF02792	PF09282
P61457	P61457	PF01329	PF01329
P61586	Q07960	PF00071	PF00620
P61764	Q8N4C7	PF00995	PF00804
P61769	P61769	PF07654	PF07654
P61956	Q9H4L4	PF11976	PF02902
P61956	P63279	PF11976	PF00179
P61956	Q13569	PF11976	PF03167
P61956	Q9HC62	PF11976	PF02902
P61956	P61956	PF11976	PF11976
P61966	O43747	PF01217	PF01602
P61970	P62826	PF02136	PF00071
P61970	P61970	PF02136	PF02136
P61981	P31947	PF00244	PF00244
P61981	P62258	PF00244	PF00244
P62070	P04049	PF00071	PF02196
P62136	P41236	PF00149	PF04979
P62136	P60709	PF00149	PF00022
P62136	P62140	PF00149	PF00149
P62140	P41236	PF00149	PF04979
P62191	P35998	PF00004	PF00004
P62191	P25787	PF00004	PF00227
P62191	P25788	PF00004	PF00227
P62191	P28074	PF00004	PF00227
P62191	P62333	PF00004	PF00004
P62195	P62191	PF00004	PF00004
P62195	P62333	PF00004	PF00004
P62195	P28074	PF00004	PF00227
P62195	P35998	PF00004	PF00004
P62258	P31946	PF00244	PF00244
P62258	Q04917	PF00244	PF00244
P62258	P27348	PF00244	PF00244
P62304	P62306	PF01423	PF01423
P62306	P09661	PF01423	PF14580
P62306	Q9Y4Y9	PF01423	PF01423
P62310	P62318	PF01423	PF01423
P62310	Q9UK45	PF01423	PF01423
P62310	Q969L4	PF01423	PF01423
P62310	O95777	PF01423	PF01423
P62310	P54105	PF01423	PF03517
P62312	P62316	PF01423	PF01423
P62312	Q9UK45	PF01423	PF01423
P62312	P54105	PF01423	PF03517
P62312	P62310	PF01423	PF01423
P62312	O95777	PF01423	PF01423
P62314	P54105	PF01423	PF03517
P62316	P62304	PF01423	PF01423
P62316	P62306	PF01423	PF01423
P62316	P62314	PF01423	PF01423
P62316	Q9Y333	PF01423	PF01423
P62318	P54105	PF01423	PF03517
P62318	P62304	PF01423	PF01423
P62318	P62308	PF01423	PF01423
P62328	P68133	PF01290	PF00022
P62328	P63261	PF01290	PF00022
P62333	P17980	PF00004	PF00004
P62333	P62333	PF00004	PF00004
P62487	P61218	PF03876	PF01192
P62491	Q6WKZ4	PF00071	PF09457
P62491	Q9BXF6	PF00071	PF09457
P62701	P60866	PF00467	PF00338
P62714	Q14738	PF00149	PF01603
P62714	Q9Y570	PF00149	PF12697
P62714	Q16537	PF00149	PF01603
P62714	Q13362	PF00149	PF01603
P62826	P43487	PF00071	PF00638
P62826	Q9HAV4	PF00071	PF08389
P62826	Q92973	PF00071	PF03810
P62826	Q9UBU9	PF00071	PF02136
P62834	P49815	PF00071	PF02145
P62834	P04049	PF00071	PF02196
P62837	Q9UNE7	PF00179	PF04564
P62837	Q9UKV5	PF00179	PF13639
P62837	Q969V5	PF00179	PF13920
P62837	O95628	PF00179	PF14570
P62837	Q6PCD5	PF00179	PF13639
P62837	Q9Y3C5	PF00179	PF13639
P62837	Q6ZNA4	PF00179	PF13639
P62837	Q86XS8	PF00179	PF13639
P62837	Q96BH1	PF00179	PF05773
P62837	Q9BY78	PF00179	PF13920
P62837	Q68DV7	PF00179	PF13639
P62837	P78317	PF00179	PF13639
P62837	O94822	PF00179	PF13639
P62837	Q9Y4L5	PF00179	PF13639
P62837	Q8ND25	PF00179	PF13639
P62837	P98170	PF00179	PF13920
P62837	Q9BV68	PF00179	PF13639
P62837	Q99942	PF00179	PF13920
P62837	Q9BZR9	PF00179	PF15227
P62837	Q9HCM9	PF00179	PF15227
P62837	P14373	PF00179	PF15227
P62837	Q99496	PF00179	PF13923
P62837	Q9NZS9	PF00179	PF15227
P62837	Q96EP1	PF00179	PF13923
P62837	Q9H0F5	PF00179	PF13639
P62837	Q9Y577	PF00179	PF15227
P62837	Q9BZY9	PF00179	PF15227
P62837	P62837	PF00179	PF00179
P62942	P42345	PF00254	PF08771
P62993	Q99062	PF00017	PF00041
P62993	Q9H3S7	PF00017	PF00102
P62995	P38159	PF00076	PF00076
P63000	P53365	PF00071	PF06456
P63000	Q13576	PF00071	PF00616
P63000	P63000	PF00071	PF00071
P63000	Q14185	PF00071	PF06920
P63000	P46940	PF00071	PF00616
P63096	P08754	PF00503	PF00503
P63104	P63104	PF00244	PF00244
P63104	P62258	PF00244	PF00244
P63146	Q5VTR2	PF00179	PF13920
P63165	Q9UBT2	PF11976	PF00899
P63165	Q9HC62	PF11976	PF02902
P63167	P63167	PF01221	PF01221
P63167	O14576	PF01221	PF11540
P63208	Q9UKT4	PF01466	PF00646
P63208	Q9H469	PF01466	PF00646
P63261	Q9Y281	PF00022	PF00241
P63261	P23528	PF00022	PF00241
P63261	P63261	PF00022	PF00022
P63261	P60981	PF00022	PF00241
P63279	P46060	PF00179	PF07834
P63279	Q9UBE0	PF00179	PF00899
P63279	P63165	PF00179	PF11976
P63279	P55854	PF00179	PF11976
P63279	P63279	PF00179	PF00179
P63279	Q6ZNA4	PF00179	PF13639
P63279	P78317	PF00179	PF13639
P63279	P14373	PF00179	PF15227
P63279	P35227	PF00179	PF13923
P67775	Q13362	PF00149	PF01603
P67775	Q9Y5P8	PF00149	PF13499
P67775	Q14738	PF00149	PF01603
P67775	Q9Y570	PF00149	PF12697
P67775	Q16537	PF00149	PF01603
P67775	Q15172	PF00149	PF01603
P67775	Q15173	PF00149	PF01603
P67809	P35637	PF00313	PF00076
P67870	P19784	PF01214	PF00069
P67870	P67870	PF01214	PF01214
P68036	Q8IWT3	PF00179	PF10557
P68400	P67870	PF00069	PF01214
P68402	Q15102	PF13472	PF13472
P68431	Q9Y294	PF00125	PF04729
P68431	Q9NVP2	PF00125	PF04729
P69905	P68871	PF00042	PF00042
P78317	P78317	PF13639	PF13639
P78330	P78330	PF00702	PF00702
P78364	Q8IXK0	PF00536	PF00536
P78364	P78364	PF00536	PF00536
P78368	Q9Y5P4	PF00069	PF00169
P84022	P12755	PF03166	PF08782
P84022	P12757	PF03166	PF08782
P84077	Q13393	PF00025	PF00169
P84085	P53365	PF00025	PF06456
P84103	P62995	PF00076	PF00076
P84243	Q9Y294	PF00125	PF04729
P84243	Q9NVP2	PF00125	PF04729
P84243	Q08945	PF00125	PF08512
P84243	Q9UER7	PF00125	PF03344
P98170	P51965	PF13920	PF00179
P98170	O43353	PF13920	PF00619
Q00526	P38936	PF00069	PF02234
Q00526	P46527	PF00069	PF02234
Q00526	P61024	PF00069	PF01111
Q00535	Q00526	PF00069	PF00069
Q00536	Q8N7R7	PF00069	PF00134
Q00604	Q9ULV1	PF00007	PF01392
Q00613	Q03933	PF00447	PF00447
Q00613	Q00613	PF00447	PF00447
Q00653	Q04864	PF00554	PF00554
Q00653	Q04206	PF00554	PF00554
Q00653	Q01201	PF00554	PF00554
Q00987	P04637	PF02201	PF08563
Q00987	P62837	PF13920	PF00179
Q00987	P61077	PF13920	PF00179
Q01081	Q15287	PF00076	PF00076
Q01094	Q14188	PF02319	PF02319
Q01105	Q01105	PF00956	PF00956
Q01130	Q01081	PF00076	PF00076
Q01196	Q01196	PF00853	PF00853
Q01201	Q04206	PF00554	PF00554
Q01658	Q9NRF9	PF00808	PF00808
Q01831	P54725	PF03835	PF09280
Q01831	P54727	PF03835	PF09280
Q01860	P48431	PF00157	PF00505
Q01860	P09429	PF00157	PF00505
Q02078	Q14814	PF00319	PF00319
Q02218	P36957	PF00676	PF00198
Q02535	P15884	PF00010	PF00010
Q02556	P10914	PF00605	PF00605
Q02750	P27361	PF00069	PF00069
Q02750	Q13233	PF00069	PF00069
Q02750	Q02750	PF00069	PF00069
Q03181	Q15788	PF00104	PF08832
Q03393	Q03393	PF01242	PF01242
Q04206	Q04206	PF00554	PF00554
Q04759	O43318	PF00069	PF07714
Q04864	Q04206	PF00554	PF00554
Q05086	P62837	PF00632	PF00179
Q05086	P68036	PF00632	PF00179
Q05086	P61077	PF00632	PF00179
Q05086	P51668	PF00632	PF00179
Q05086	Q05086	PF00632	PF00632
Q05086	P51965	PF00632	PF00179
Q05193	Q9BY11	PF00169	PF14604
Q05193	P12931	PF00169	PF07714
Q05195	Q9UH92	PF00010	PF00010
Q05209	P29353	PF00102	PF00017
Q05209	P62993	PF00102	PF00017
Q05397	P42224	PF07714	PF00017
Q05397	O43294	PF03623	PF03535
Q05516	Q05516	PF00651	PF00651
Q06187	Q9P2D0	PF00018	PF12796
Q06587	Q06587	PF00097	PF00097
Q06609	P54132	PF14520	PF00271
Q07666	Q07666	PF00013	PF00013
Q07812	Q07812	PF00452	PF00452
Q07812	Q07820	PF00452	PF00452
Q07817	Q14457	PF00452	PF15285
Q07820	Q92934	PF00452	PF10514
Q07820	Q16611	PF00452	PF00452
Q07820	P55957	PF00452	PF06393
Q07820	Q07820	PF00452	PF00452
Q07869	Q15788	PF00104	PF08832
Q07889	P00533	PF00169	PF07714
Q07889	Q8WU20	PF00169	PF02174
Q07890	P00533	PF00169	PF07714
Q08117	Q04724	PF03920	PF03920
Q08117	Q08117	PF03920	PF03920
Q10586	P35638	PF07716	PF07716
Q12772	Q12772	PF00010	PF00010
Q12829	Q93034	PF07525	PF00888
Q12846	O75379	PF05739	PF00957
Q12846	P63027	PF05739	PF00957
Q12846	Q9BV40	PF05739	PF00957
Q12851	Q13233	PF00069	PF00069
Q12905	Q96KR1	PF07528	PF07528
Q12906	Q12905	PF07528	PF07528
Q12929	Q12929	PF00018	PF00018
Q12929	Q8IZP0	PF00018	PF00018
Q12933	Q12933	PF00097	PF00097
Q12933	P61088	PF00097	PF00179
Q12962	Q5VWG9	PF03540	PF07524
Q12983	O60238	PF06553	PF06553
Q12983	Q12983	PF06553	PF06553
Q13011	O75521	PF00378	PF00378
Q13064	Q13064	PF00097	PF00097
Q13084	Q9BYD2	PF00830	PF01281
Q13098	Q99627	PF01399	PF10075
Q13131	O43741	PF00069	PF04739
Q13131	Q9Y478	PF00069	PF04739
Q13137	P60520	PF07888	PF02991
Q13137	Q13137	PF07888	PF07888
Q13137	Q9H0R8	PF07888	PF02991
Q13153	Q9Y2X7	PF00069	PF12796
Q13158	P25445	PF00531	PF00531
Q13158	Q15628	PF00531	PF00531
Q13158	Q9Y572	PF01335	PF00069
Q13164	Q13164	PF00069	PF00069
Q13185	Q9UBC3	PF00385	PF00145
Q13190	P54920	PF05739	PF14938
Q13217	P19525	PF00226	PF00069
Q13217	P11142	PF00226	PF00012
Q13232	P22392	PF00334	PF00334
Q13233	P45983	PF00069	PF00069
Q13233	O15169	PF00069	PF00615
Q13233	P45985	PF00069	PF00069
Q13233	P61586	PF00069	PF00071
Q13233	P45984	PF00069	PF00069
Q13233	O14733	PF00069	PF00069
Q13241	P26715	PF00059	PF00059
Q13241	P26717	PF00059	PF00059
Q13257	Q9Y6D9	PF02301	PF05557
Q13257	Q13257	PF02301	PF02301
Q13277	P63027	PF05739	PF00957
Q13309	Q13616	PF12937	PF00888
Q13309	Q93034	PF12937	PF00888
Q13315	P00519	PF00454	PF00017
Q13393	P61586	PF00169	PF00071
Q13404	Q9UNE7	PF00179	PF04564
Q13415	O43913	PF00004	PF13191
Q13416	Q9UBD5	PF04084	PF07034
Q13416	O43913	PF04084	PF14630
Q13418	P04049	PF07714	PF07714
Q13426	Q13426	PF06632	PF06632
Q13439	P40616	PF01465	PF00025
Q13469	Q13469	PF00554	PF00554
Q13480	P08581	PF00169	PF07714
Q13485	P12755	PF03166	PF08782
Q13485	P12757	PF03166	PF08782
Q13489	P62837	PF13920	PF00179
Q13489	P51668	PF13920	PF00179
Q13489	P61077	PF13920	PF00179
Q13489	Q13404	PF13920	PF00179
Q13490	P61077	PF13920	PF00179
Q13490	P51668	PF13920	PF00179
Q13490	P62837	PF13920	PF00179
Q13490	Q16763	PF13920	PF00179
Q13535	P00519	PF00454	PF00017
Q13546	Q13158	PF00531	PF00531
Q13546	P19438	PF00531	PF00531
Q13546	Q13490	PF00531	PF00619
Q13546	Q13489	PF00531	PF00619
Q13546	O43318	PF07714	PF07714
Q13546	O14920	PF07714	PF00069
Q13547	Q13547	PF00850	PF00850
Q13547	Q92769	PF00850	PF00850
Q13547	Q8N344	PF00850	PF01448
Q13555	P55042	PF00069	PF00071
Q13561	P42025	PF04912	PF00022
Q13561	P61163	PF04912	PF00022
Q13561	Q9NZ32	PF04912	PF00022
Q13562	P15923	PF00010	PF00010
Q13569	P63165	PF03167	PF11976
Q13595	O75494	PF00076	PF00076
Q13616	Q86VP6	PF00888	PF08623
Q13616	Q9UKA1	PF00888	PF12937
Q13616	Q92990	PF00888	PF08568
Q13616	O75155	PF00888	PF08623
Q13616	Q969U6	PF00888	PF12937
Q13616	Q9UF56	PF00888	PF12937
Q13616	Q9NXK8	PF00888	PF12937
Q13617	Q86VP6	PF00888	PF08623
Q13617	Q15370	PF10557	PF00240
Q13617	Q15369	PF00888	PF03931
Q13617	P51668	PF10557	PF00179
Q13618	Q86VP6	PF00888	PF08623
Q13618	Q9P2K6	PF00888	PF07707
Q13618	Q15369	PF00888	PF03931
Q13618	Q8NDN9	PF00888	PF00651
Q13619	Q86VP6	PF00888	PF08623
Q13619	Q15843	PF10557	PF00240
Q13619	Q96GG9	PF10557	PF03556
Q13620	Q86VP6	PF00888	PF08623
Q13620	Q96GG9	PF10557	PF03556
Q13627	Q05193	PF00069	PF00169
Q13761	Q13951	PF00853	PF02312
Q13765	P20290	PF01849	PF01849
Q13794	Q07820	PF15150	PF00452
Q13794	Q07817	PF15150	PF00452
Q13794	P10415	PF15150	PF00452
Q13829	Q9H3F6	PF02214	PF02214
Q13838	Q86W42	PF00270	PF00400
Q13867	Q13867	PF03051	PF03051
Q13873	P12644	PF01064	PF00019
Q13889	Q13888	PF03850	PF04056
Q13889	Q92759	PF03850	PF03849
Q13889	Q6P1K8	PF03850	PF04056
Q13951	Q01196	PF02312	PF00853
Q13952	Q01658	PF00808	PF00808
Q13952	P23511	PF00808	PF02045
Q13952	P25208	PF00808	PF00808
Q14004	Q9NYV4	PF00069	PF00069
Q14011	P38159	PF00076	PF00076
Q14134	Q14134	PF00643	PF00643
Q14134	P36406	PF00643	PF00643
Q14141	Q9UH03	PF00735	PF00735
Q14152	Q9Y262	PF01399	PF10255
Q14152	O15372	PF01399	PF01398
Q14152	Q9UBQ5	PF01399	PF10075
Q14152	Q7L2H7	PF01399	PF01399
Q14186	Q01094	PF02319	PF02319
Q14186	Q16254	PF02319	PF02319
Q14186	Q15329	PF02319	PF02319
Q14188	Q16254	PF02319	PF02319
Q14194	Q16555	PF01979	PF01979
Q14194	Q14194	PF01979	PF01979
Q14344	P25116	PF00503	PF00001
Q14344	P21731	PF00503	PF00001
Q14457	Q14457	PF04111	PF04111
Q14457	Q07820	PF15285	PF00452
Q14511	Q14511	PF14604	PF14604
Q14511	P00519	PF14604	PF07714
Q14527	P61088	PF13920	PF00179
Q14527	Q15819	PF13920	PF00179
Q14573	Q9UBN4	PF00520	PF00520
Q14582	P61244	PF00010	PF00010
Q14643	Q9UBN4	PF00520	PF00520
Q14653	Q92793	PF10401	PF09030
Q14653	Q09472	PF10401	PF09030
Q14781	O00257	PF00385	PF00385
Q14919	Q9NRF9	PF00808	PF00808
Q14919	Q01658	PF00808	PF00808
Q14974	P62826	PF03810	PF00071
Q14BN4	Q13043	PF00498	PF00069
Q14BN4	Q13188	PF00498	PF00069
Q14CW9	Q9UPT9	PF08209	PF00443
Q15019	Q14141	PF00735	PF00735
Q15022	Q9BQA1	PF09733	PF00400
Q15054	P49005	PF09507	PF04042
Q15075	Q15075	PF01363	PF01363
Q15102	Q15102	PF13472	PF13472
Q15121	Q13158	PF01335	PF01335
Q15121	P27361	PF01335	PF00069
Q15121	P28482	PF01335	PF00069
Q15185	Q15185	PF04969	PF04969
Q15257	P67775	PF03095	PF00149
Q15287	Q8WXA9	PF00076	PF00076
Q15287	P62995	PF00076	PF00076
Q15303	P78352	PF07714	PF00018
Q15303	P42229	PF07714	PF00017
Q15303	P29353	PF07714	PF00017
Q15311	P11233	PF00620	PF00071
Q15369	Q15370	PF03931	PF00240
Q15369	Q96DX5	PF03931	PF07525
Q15369	Q96BD6	PF03931	PF07525
Q15369	Q99619	PF03931	PF07525
Q15369	Q96Q27	PF03931	PF07525
Q15369	Q12829	PF03931	PF07525
Q15369	Q9Y576	PF03931	PF07525
Q15369	Q9Y6I7	PF03931	PF07525
Q15382	P49815	PF00071	PF02145
Q15382	P42345	PF00071	PF00454
Q15382	P04049	PF00071	PF02196
Q15544	Q15543	PF04719	PF02269
Q15596	P03372	PF08832	PF00104
Q15596	P11473	PF08832	PF00104
Q15596	Q09472	PF08815	PF09030
Q15628	Q13546	PF00531	PF00531
Q15628	Q15628	PF00531	PF00531
Q15631	Q99598	PF01997	PF01997
Q15669	P52565	PF00071	PF02115
Q15672	P15923	PF00010	PF00010
Q15722	Q15722	PF00001	PF00001
Q15744	P53567	PF07716	PF07716
Q15744	P49715	PF07716	PF07716
Q15750	Q16539	PF00481	PF00069
Q15759	Q16539	PF00069	PF00069
Q15759	Q16644	PF00069	PF00069
Q15788	P10826	PF08832	PF00104
Q15788	Q92731	PF08832	PF00104
Q15788	Q09472	PF08815	PF09030
Q15796	P12755	PF03166	PF08782
Q15797	P12755	PF03166	PF08782
Q15819	P61088	PF00179	PF00179
Q15831	Q9Y376	PF00069	PF08569
Q15831	Q9C0K7	PF00069	PF00069
Q15831	Q9H9S4	PF00069	PF08569
Q15843	P15374	PF00240	PF01088
Q15843	Q13616	PF00240	PF10557
Q15843	Q13617	PF00240	PF10557
Q15843	Q13618	PF00240	PF10557
Q15843	Q15370	PF00240	PF00240
Q15843	Q15369	PF00240	PF03931
Q15843	Q13620	PF00240	PF10557
Q15843	Q9UKB1	PF00240	PF12937
Q15853	Q15853	PF00010	PF00010
Q15853	P22415	PF00010	PF00010
Q15910	Q15022	PF00856	PF09733
Q16206	Q8TC92	PF00076	PF00076
Q16222	Q16222	PF01704	PF01704
Q16236	O15525	PF03131	PF03131
Q16539	Q16539	PF00069	PF00069
Q16539	P28482	PF00069	PF00069
Q16539	P27361	PF00069	PF00069
Q16539	Q9HBH9	PF00069	PF00069
Q16539	P46734	PF00069	PF00069
Q16539	P52564	PF00069	PF00069
Q16543	P07900	PF08565	PF02518
Q16543	Q16543	PF03234	PF03234
Q16548	Q92934	PF00452	PF10514
Q16594	Q9Y6J9	PF02291	PF02969
Q16594	P49848	PF02291	PF02969
Q16602	O60894	PF02793	PF04901
Q16611	Q07812	PF00452	PF00452
Q16621	Q16621	PF03131	PF03131
Q16623	P63027	PF05739	PF00957
Q16623	O14810	PF05739	PF05835
Q16623	P54920	PF05739	PF14938
Q16633	P14859	PF09310	PF00157
Q16637	O14893	PF06003	PF04938
Q16644	Q16539	PF00069	PF00069
Q16659	Q8IW41	PF00069	PF00069
Q16665	Q9GZT9	PF11413	PF13640
Q16665	Q9H6Z9	PF11413	PF13640
Q16667	P24941	PF05706	PF00069
Q16695	Q9NVP2	PF00125	PF04729
Q16695	Q9Y294	PF00125	PF04729
