Protein	Domain	ProteinLength	DomainLength	DomainStart	DomainEnd
Q7Z7C8	PF07524	310	77	29	106
Q86SE5	PF00076	291	63	23	86
Q86TM6	PF13639	617	41	289	330
Q86VP6	PF08623	1230	163	1040	1203
Q86VX2	PF07258	200	69	131	200
Q86X83	PF07258	199	70	121	191
Q86XK2	PF12937	927	45	157	202
Q86YS3	PF09457	637	40	596	636
Q8IUF8	PF08007	465	313	51	364
Q8IUQ4	PF03145	282	196	82	278
Q8IUZ5	PF00202	450	406	27	433
Q8IWE4	PF03556	304	115	161	276
Q8IXK0	PF00536	858	64	792	856
Q8IY18	PF13476	1101	196	55	251
Q8IY92	PF09494	1834	57	1753	1810
Q8IYB3	PF01480	904	71	46	117
Q8IYU2	PF00632	909	307	602	909
Q8IZD4	PF06058	617	116	13	129
Q8N122	PF00400	1335	38	1156	1194
Q8N143	PF00651	479	107	28	135
Q8N1L9	PF00170	274	57	15	72
Q8N2Z9	PF15630	138	75	17	92
Q8N302	PF00498	714	74	434	508
Q8N3Y1	PF00646	598	44	117	161
Q8N5I3	PF02214	272	91	7	98
Q8NBT2	PF08286	197	172	20	192
Q8NCD3	PF10384	748	57	18	75
Q8NEU8	PF00169	664	97	278	375
Q8NEZ2	PF07200	397	145	235	380
Q8NFD5	PF01388	2236	85	1055	1140
Q8NFH3	PF00400	380	39	207	246
Q8NFZ0	PF12937	1043	49	212	261
Q8NHM5	PF00646	1336	57	1050	1107
Q8NHQ8	PF00788	419	81	1	82
Q8NHY2	PF13923	731	38	135	173
Q8TBB1	PF00097	728	36	41	77
Q8TBM8	PF00226	379	61	108	169
Q8TBN0	PF06428	382	84	88	172
Q8TDB6	PF13923	740	39	560	599
Q8TF42	PF00627	649	34	39	73
Q8WUI4	PF00850	952	318	541	859
Q8WVB6	PF00004	975	112	370	482
Q8WVC0	PF04004	666	162	374	536
Q8WVF5	PF02214	259	91	35	126
Q8WWW0	PF00130	418	50	123	173
Q8WWY3	PF01798	499	231	99	330
Q8WXA9	PF00076	508	68	68	136
Q8WXF8	PF01335	326	82	26	108
Q8WY64	PF13920	445	45	383	428
Q8WYJ6	PF00735	367	281	22	303
Q8WYK2	PF00170	163	63	70	133
Q8WZ19	PF02214	329	90	43	133
Q92529	PF00017	594	71	499	570
Q92665	PF15433	395	293	96	389
Q92731	PF00104	530	199	283	482
Q92734	PF00564	400	83	10	93
Q92769	PF00850	488	291	29	320
Q92793	PF00439	2442	86	1094	1180
Q92793	PF02172	2442	80	587	667
Q92793	PF09030	2442	96	2018	2114
Q92800	PF00856	747	104	624	728
Q92835	PF00017	1189	81	5	86
Q92843	PF00452	193	98	46	144
Q92900	PF09416	1129	151	121	272
Q92905	PF01398	334	114	50	164
Q92934	PF10514	168	167	1	168
Q93009	PF00443	1102	304	214	518
Q93034	PF10557	780	62	710	772
Q93034	PF00888	780	653	19	672
Q93038	PF00531	417	80	333	413
Q93062	PF00076	196	63	26	89
Q93088	PF02574	406	291	23	314
Q969G3	PF00505	411	68	66	134
Q969H0	PF12937	707	46	281	327
Q969Q1	PF00643	353	41	118	159
Q969T4	PF00179	207	137	65	202
Q969U6	PF12937	566	46	6	52
Q96A08	PF00125	127	101	2	103
Q96AJ9	PF12352	217	65	123	188
Q96AT9	PF00834	228	195	6	201
Q96B02	PF00179	151	141	7	148
Q96BR9	PF00651	441	108	14	122
Q96CA5	PF00653	298	65	90	155
Q96CA5	PF13920	298	44	248	292
Q96CV9	PF11577	577	67	37	104
P84092	PF00928	435	276	159	435
Q96CW5	PF04130	907	510	253	763
Q96DX5	PF07525	294	38	255	293
Q96EF6	PF12937	278	42	18	60
Q96EP0	PF01485	1072	62	779	841
Q96EP1	PF00498	664	68	38	106
Q96FW1	PF10275	271	231	40	271
Q96FX7	PF08704	289	222	64	286
Q96FZ7	PF03357	201	160	18	178
Q96GA7	PF00291	329	298	12	310
Q96GG9	PF03556	259	110	136	246
Q96GM5	PF02201	515	72	293	365
Q96GX9	PF00596	242	195	27	222
Q96H20	PF04157	258	220	6	226
Q96IZ5	PF00076	413	70	311	381
Q96J02	PF00632	903	305	598	903
Q96KP1	PF01833	924	84	8	92
Q96KQ7	PF00856	1210	106	1049	1155
Q96LD8	PF02902	212	187	25	212
Q96LR5	PF00179	201	137	59	196
Q96MG7	PF01454	304	169	92	261
Q96MH2	PF15313	286	125	102	227
Q96NY9	PF02732	551	142	273	415
Q96P09	PF00653	236	63	7	70
Q96PM5	PF13639	261	44	143	187
Q96PN7	PF01448	1200	54	781	835
Q96PU4	PF00240	802	73	3	76
Q96PU5	PF00632	975	305	669	974
Q96Q27	PF07525	587	38	545	583
Q96QG7	PF06602	549	338	108	446
Q96QU6	PF00155	501	372	96	468
Q96RE7	PF00651	527	104	20	124
Q96RR4	PF00069	588	281	165	446
Q96RU8	PF00069	372	233	105	338
Q96S59	PF08513	729	26	367	393
Q96SB3	PF00595	815	85	494	579
Q96T23	PF15612	1441	46	96	142
Q99081	PF00010	682	53	578	631
Q99436	PF00227	277	181	40	221
Q99471	PF02996	154	121	22	143
Q99496	PF13923	336	40	50	90
Q99497	PF01965	189	167	4	171
Q99583	PF00010	582	51	221	272
Q99584	PF01023	98	42	9	51
Q99619	PF07525	263	38	224	262
Q99623	PF01145	299	192	41	233
Q99638	PF04139	391	252	13	265
Q99683	PF00069	1374	256	682	938
Q99697	PF00046	317	56	86	142
Q99700	PF07145	1313	17	909	926
Q99704	PF00169	481	115	4	119
Q99719	PF00735	369	280	41	321
Q99759	PF00069	626	260	362	622
Q99814	PF11413	870	32	517	549
Q99816	PF09454	390	63	316	379
Q99819	PF02115	225	187	35	222
Q99836	PF01582	296	132	163	295
Q99836	PF00531	296	77	30	107
Q99933	PF02179	345	99	226	325
Q99942	PF13920	180	49	24	73
Q99961	PF00018	368	45	312	357
Q9BPX1	PF13561	270	236	14	250
Q9BPX5	PF04699	153	144	9	153
Q9BPZ3	PF07145	127	17	106	123
Q9BQY4	PF00046	288	54	137	191
Q9BRG1	PF05871	176	135	10	145
Q9BRG2	PF00017	576	80	15	95
Q9BRT9	PF05916	223	106	21	127
Q9BSJ2	PF04130	902	518	220	738
Q9BT78	PF01399	406	99	264	363
Q9BTC8	PF01448	594	52	150	202
Q9BTC8	PF00320	594	37	379	416
Q9BTE7	PF03556	237	110	120	230
Q9BTV7	PF00134	478	131	330	461
Q9BUE0	PF09637	208	188	19	207
Q9BUI4	PF05645	534	199	146	345
Q9BV20	PF01008	369	302	44	346
Q9BV36	PF02318	600	117	8	125
Q9BW11	PF00010	206	52	58	110
Q9BWF2	PF13639	469	45	5	50
Q9BXM7	PF00069	581	245	264	509
Q9BYD3	PF00573	311	192	80	272
Q9BYM8	PF01485	510	60	351	411
Q9BYV9	PF03131	841	92	617	709
Q9BZE1	PF07147	423	225	195	420
Q9BZV1	PF00789	441	78	332	410
Q9C005	PF05186	99	41	52	93
Q9GZQ3	PF07258	224	67	149	216
Q9GZQ8	PF02991	125	105	15	120
Q9GZS1	PF06870	481	376	98	474
Q9GZT8	PF01784	377	332	32	364
Q9GZX7	PF08210	198	167	11	178
Q9H074	PF07145	479	17	123	140
Q9H0A8	PF07258	199	71	128	199
Q9H0E2	PF00168	274	101	53	154
Q9H0M0	PF00632	922	305	617	922
Q9H0U4	PF00071	201	161	10	171
Q9H0Y0	PF03987	220	67	100	167
Q9H201	PF01417	632	123	17	140
Q9H211	PF08839	546	163	186	349
Q9H257	PF00619	536	86	11	97
Q9H267	PF00995	617	574	37	611
Q9H270	PF00637	941	135	412	547
Q9H2S9	PF13894	585	23	187	210
Q9H2W6	PF11788	279	108	45	153
Q9H2X6	PF00069	1198	328	199	527
Q9H444	PF03357	224	175	24	199
Q9H492	PF02991	121	105	15	120
Q9H4E5	PF00071	214	173	23	196
Q9H4M9	PF00350	534	160	61	221
Q9H4P4	PF13923	317	38	17	55
Q9H4P4	PF08941	317	178	137	315
Q9H672	PF07525	318	38	275	313
Q9H6Z4	PF00638	567	115	390	505
Q9H6Z9	PF13640	239	93	120	213
Q9H765	PF07525	288	40	247	287
Q9H7Z6	PF01853	458	177	235	412
Q9H7Z6	PF11717	458	56	55	111
Q9H840	PF11095	131	75	54	129
Q9H9A7	PF08585	625	191	14	205
Q9H9H4	PF07200	285	145	11	156
Q9HA47	PF00485	277	194	25	219
Q9HAP2	PF00010	919	50	720	770
Q9HAU4	PF00632	748	305	443	748
Q9HBH9	PF00069	465	284	84	368
Q9HBM6	PF02291	251	121	9	130
Q9HC16	PF08210	384	173	17	190
Q9HC29	PF00619	1040	90	31	121
Q9HC98	PF00069	313	263	45	308
Q9HCE7	PF00632	757	308	449	757
Q9HCM9	PF15227	518	40	29	69
Q9HCN4	PF03029	374	240	24	264
Q9HCU9	PF08598	246	146	60	206
Q9HCY8	PF01023	104	41	18	59
Q9HD42	PF03357	196	170	4	174
Q9NNX6	PF00059	404	106	273	379
Q9NP66	PF00505	347	68	103	171
Q9NP79	PF04652	307	142	16	158
Q9NPB6	PF00595	346	90	157	247
Q9NPD8	PF00179	197	141	6	147
Q9NPE3	PF04135	64	49	3	52
Q9NPF4	PF00814	335	278	23	301
Q9NPJ8	PF02136	142	119	17	136
Q9NQP4	PF01920	134	106	20	126
Q9NQS7	PF03941	918	56	825	881
Q9NR09	PF00653	4857	70	289	359
Q9NR22	PF06325	394	98	102	200
Q9NR28	PF09057	239	230	9	239
Q9NR55	PF00170	127	69	33	102
Q9NRA8	PF10477	985	681	30	711
Q9NRD1	PF12937	293	47	13	60
Q9NRF9	PF00808	147	65	8	73
Q9NS28	PF00615	235	115	86	201
Q9NS56	PF13923	1045	39	102	141
Q9NS91	PF13923	495	39	24	63
Q9NSE2	PF00017	258	81	82	163
Q9NSE2	PF07525	258	33	221	254
Q9NTM9	PF03932	273	201	26	227
Q9NTX7	PF13920	359	46	34	80
Q9NW38	PF11793	375	68	303	371
Q9NWB1	PF00076	397	68	119	187
Q9NWS9	PF02023	450	88	22	110
Q9NWT6	PF13621	349	254	48	302
Q9NWX5	PF07525	421	40	372	412
Q9NWZ3	PF07714	460	267	187	454
Q9NX08	PF07258	183	69	114	183
Q9NX65	PF02023	697	89	33	122
Q9NXV2	PF02214	234	92	46	138
Q9NY12	PF04410	217	117	52	169
Q9NYG5	PF12861	84	83	1	84
Q9NZN3	PF00350	535	160	61	221
Q9NZN8	PF04153	540	125	396	521
Q9NZZ3	PF03357	219	185	12	197
Q9P0U3	PF02902	644	178	464	642
Q9P0U4	PF00628	656	48	28	76
Q9P289	PF00069	416	250	24	274
Q9P2R6	PF01448	1566	50	286	336
Q9UBC3	PF00145	853	150	575	725
Q9UBE0	PF00899	346	322	19	341
Q9UBE8	PF00069	527	289	138	427
Q9UBI1	PF07258	195	72	122	194
Q9UBN4	PF00520	977	270	362	632
Q9UBP6	PF02390	276	178	76	254
Q9UBQ0	PF12850	182	157	1	158
Q9UBQ5	PF10075	218	139	61	200
Q9UBS4	PF00226	358	62	25	87
Q9UBU8	PF05712	362	179	173	352
Q9UBU8	PF11717	362	42	11	53
Q9UBU9	PF02136	619	150	386	536
Q9UBW8	PF01399	275	103	52	155
Q9UDY4	PF00226	337	61	4	65
Q9UER7	PF03344	740	98	48	146
Q9UH92	PF00010	298	58	130	188
Q9UHB7	PF05110	1163	1157	2	1159
Q9UHD2	PF00069	729	290	9	299
Q9UHD8	PF00735	586	279	295	574
Q9UHQ4	PF05529	241	219	1	220
Q9UI12	PF03224	483	325	17	342
Q9UI26	PF03810	975	72	28	100
Q9UIF9	PF15612	1905	43	950	993
Q9UIK4	PF00069	370	262	23	285
Q9UJ41	PF02204	708	103	485	588
Q9UJ70	PF01869	344	278	7	285
Q9UJC3	PF05622	728	706	14	720
Q9UJT9	PF00646	491	47	112	159
Q9UJX2	PF04049	597	119	31	150
Q9UJX5	PF12896	808	199	232	431
Q9UJX6	PF08672	822	60	757	817
Q9UJY1	PF00011	196	87	93	180
Q9UK45	PF01423	103	73	13	86
Q9UK80	PF00443	565	343	212	555
Q9UKB1	PF12937	542	50	120	170
Q9UKC9	PF00646	423	44	13	57
Q9UKK6	PF02136	140	119	16	135
Q9UKL0	PF00249	482	44	381	425
Q9UKT5	PF00646	387	47	57	104
Q9UKT7	PF12937	428	40	41	81
Q9UKT8	PF00646	454	40	55	95
Q9UKT9	PF00096	509	22	146	168
Q9UKU0	PF00501	697	460	103	563
Q9UKV5	PF13639	643	40	339	379
Q9UL62	PF00520	973	273	363	636
Q9ULV8	PF02262	474	132	13	145
Q9ULX9	PF03131	164	91	24	115
Q9UM11	PF12894	496	71	211	282
Q9UMX0	PF00240	589	70	39	109
Q9UN37	PF09336	437	60	374	434
Q9UNA4	PF11799	740	126	320	446
Q9UNE7	PF04564	303	72	227	299
Q9UNL4	PF12998	249	101	6	107
Q9UNM6	PF01399	376	104	231	335
Q9UNS2	PF01399	423	104	258	362
Q9UNY5	PF02023	417	89	48	137
Q9UPM8	PF01602	1137	549	52	601
Q9UPZ9	PF00069	632	280	4	284
Q9UQ88	PF00069	783	285	426	711
Q9Y230	PF06068	463	391	21	412
Q9Y239	PF00619	953	84	20	104
Q9Y248	PF05916	185	111	42	153
Q9Y253	PF11799	713	130	309	439
Q9Y265	PF06068	456	402	14	416
Q9Y266	PF04969	331	77	170	247
Q9Y275	PF00229	285	115	169	284
Q9Y2A7	PF09735	1128	1113	9	1122
Q9Y2K7	PF00646	1162	46	889	935
Q9Y2M0	PF08774	1017	115	893	1008
Q9Y2Q5	PF03259	125	90	5	95
Q9Y2T1	PF00615	843	118	81	199
Q9Y2X7	PF12796	761	92	137	229
Q9Y2X8	PF00179	147	137	5	142
Q9Y333	PF01423	95	67	5	72
Q9Y385	PF00179	318	115	14	129
Q9Y3B4	PF00076	125	67	21	88
Q9Y3C4	PF08617	175	152	20	172
Q9Y3E7	PF03357	222	172	18	190
Q9Y3I1	PF00646	522	47	330	377
Q9Y478	PF04739	270	70	199	269
Q9Y4I1	PF01843	1855	103	1687	1790
Q9Y4K3	PF13923	522	38	69	107
Q9Y4P1	PF03416	393	296	39	335
Q9Y4Y9	PF01423	91	68	16	84
Q9Y4Z0	PF01423	139	66	5	71
Q9Y535	PF03876	204	69	8	77
Q9Y572	PF00069	518	262	21	283
Q9Y574	PF07525	426	39	381	420
Q9Y575	PF07525	518	41	459	500
Q9Y576	PF07525	335	38	296	334
Q9Y5K5	PF01088	329	201	8	209
Q9Y5L4	PF02953	95	62	24	86
Q9Y5M8	PF09439	271	179	62	241
Q9Y5X1	PF00018	595	48	6	54
Q9Y613	PF02181	1164	372	616	988
Q9Y620	PF00271	910	116	642	758
Q9Y678	PF01602	874	516	23	539
Q9Y6E0	PF00069	443	250	36	286
Q9Y6G5	PF07258	202	71	131	202
Q9Y6I7	PF07525	421	35	384	419
Q9Y6K1	PF00145	912	142	634	776
Q9Y6K9	PF11577	419	67	44	111
Q9Y6Q9	PF08815	1424	48	1045	1093
Q9Y6Q9	PF08832	1424	88	616	704
O75175	PF04153	753	127	620	747
P24928	PF04997	1970	339	15	354
Q16514	PF03847	161	67	59	126
O76075	PF02017	338	74	5	79
Q9Y262	PF10255	564	398	152	550
P55036	PF13519	377	110	6	116
Q99460	PF13646	953	93	599	692
Q7L7X3	PF00069	1001	253	28	281
Q9Y2X3	PF01798	529	229	168	397
P55769	PF01248	128	94	20	114
P53621	PF06957	1224	409	815	1224
Q9BQA1	PF00400	342	39	157	196
Q9BZD4	PF03800	464	143	3	146
P12931	PF07714	536	249	270	519
Q9ULW0	PF09041	747	67	1	68
P19525	PF00069	551	270	267	537
Q86WV1	PF00018	359	45	302	347
P59998	PF05856	168	166	1	167
P61160	PF00022	394	387	3	390
Q92997	PF00778	716	78	2	80
Q07912	PF07714	1038	259	126	385
Q99613	PF01399	913	134	712	846
B5ME19	PF01399	914	134	713	847
P55210	PF00656	303	233	68	301
P42574	PF00656	277	230	45	275
Q9BV40	PF00957	100	88	9	97
Q9UEU0	PF12352	232	65	137	202
P63027	PF00957	116	88	28	116
Q14494	PF03131	772	93	625	718
P04899	PF00503	355	331	13	344
P09471	PF00503	354	330	13	343
P48556	PF10075	350	141	186	327
O00232	PF01399	456	117	300	417
Q14289	PF03623	1009	132	870	1002
Q9NYP9	PF03226	233	107	81	188
O43542	PF08423	346	288	52	340
O75771	PF08423	328	279	36	315
Q92956	PF00020	283	41	78	119
O75865	PF04051	159	149	7	156
Q9UL33	PF04628	140	131	7	138
Q8IUR0	PF04051	188	146	29	175
Q86SZ2	PF04051	158	149	7	156
Q9NYB9	PF14604	513	48	458	506
Q96F46	PF08357	866	158	378	536
Q8N684	PF00076	471	72	84	156
Q16630	PF00076	551	71	83	154
Q9WUL7	PF00025	182	174	3	177
P62253	PF00179	170	152	9	161
Q16186	PF04683	407	82	29	111
Q9NRL2	PF15612	1556	45	590	635
P06241	PF00017	537	82	149	231
Q6PI26	PF04925	577	175	239	414
O60671	PF02144	282	241	16	257
P19532	PF00010	575	53	347	400
P33993	PF14551	719	130	10	140
O94905	PF01145	339	194	24	218
O75306	PF00346	463	270	193	463
O75251	PF01058	213	110	87	197
Q5VWX1	PF00013	349	69	61	130
Q14511	PF12026	834	209	619	828
Q9BUL9	PF01918	199	65	36	101
Q6P2Q9	PF08083	2335	406	395	801
Q8ND76	PF00134	341	122	143	265
Q9H0R8	PF02991	117	103	13	116
Q9BZS1	PF00250	431	80	337	417
Q96FJ2	PF01221	89	83	5	88
Q9NRG1	PF00156	225	160	43	203
O15350	PF00870	636	196	113	309
P42229	PF00017	794	77	593	670
P40763	PF00017	770	90	584	674
O15357	PF00017	1258	81	21	102
Q8TF42	PF14604	649	54	261	315
Q9UJM3	PF11555	462	56	315	371
O75886	PF00018	525	45	208	253
Q14247	PF14604	550	48	499	547
Q13387	PF14604	824	50	611	661
Q92918	PF00069	833	257	17	274
P07204	PF14670	575	35	245	280
P08697	PF00079	491	352	84	436
P07093	PF00079	398	367	31	398
P05154	PF00079	406	363	43	406
P07711	PF00112	333	218	114	332
P17535	PF00170	347	63	266	329
P15056	PF02196	766	69	156	225
Q8IZJ4	PF00617	473	198	222	420
Q8WWW0	PF00788	418	90	274	364
Q06643	PF00229	244	141	102	243
P00750	PF00089	562	245	311	556
O14807	PF00071	208	162	15	177
P10301	PF00071	218	161	31	192
P09972	PF00274	364	349	15	364
P62937	PF00160	165	156	7	163
O15151	PF02201	490	70	25	95
Q13625	PF00018	1128	48	1063	1111
Q16270	PF00219	282	55	32	87
Q99767	PF00640	749	158	372	530
Q02410	PF00640	837	157	461	618
Q01344	PF09240	420	105	131	236
P22455	PF07679	802	87	154	241
P08887	PF09240	468	95	118	213
P20701	PF00092	1170	170	156	326
P05387	PF00428	115	97	17	114
Q9NW08	PF04566	1133	61	539	600
Q9NVU0	PF04801	708	427	5	432
P05787	PF00038	483	311	90	401
P35568	PF00169	1242	107	7	114
Q05655	PF00069	676	254	349	603
O43281	PF14604	561	52	12	64
Q14186	PF08781	410	138	200	338
Q14188	PF08781	446	138	215	353
Q9HB71	PF05002	228	60	161	221
Q13541	PF05456	118	117	1	118
Q13542	PF05456	120	119	1	120
P18887	PF01834	633	148	1	149
O75607	PF03066	178	102	37	139
P04080	PF00031	98	88	4	92
O95433	PF09229	338	130	29	159
Q9Y2Z0	PF04969	365	76	172	248
Q9UKM9	PF00076	306	63	23	86
Q8WWW8	PF00169	586	111	6	117
P14210	PF00089	728	221	495	716
P35900	PF00038	424	311	69	380
O00757	PF00316	339	187	12	199
P67936	PF00261	248	236	12	248
Q09472	PF02172	2414	80	566	646
Q9H3M7	PF02752	391	126	174	300
P21583	PF02404	273	272	1	273
P61604	PF00166	102	92	8	100
O14508	PF00017	198	81	48	129
Q00978	PF00605	393	104	11	115
Q8IXB1	PF00226	793	62	35	97
Q92598	PF00012	858	705	3	708
P54652	PF00012	639	608	7	615
Q9NXW2	PF00226	375	61	110	171
O60884	PF00226	412	59	8	67
O00330	PF02817	501	35	182	217
P08631	PF00017	526	82	144	226
P00519	PF00017	1130	75	127	202
Q8IYD1	PF07145	628	17	47	64
Q9UBT6	PF11799	870	119	407	526
Q9UBZ9	PF11799	1251	128	702	830
P36894	PF01064	532	75	59	134
P51681	PF00001	352	250	47	297
P32246	PF00001	355	250	51	301
Q12802	PF10522	2813	18	1246	1264
Q9H788	PF00017	454	76	347	423
P36406	PF00643	574	46	122	168
Q9Y5K8	PF01813	247	192	15	207
O00746	PF00334	187	134	38	172
P22392	PF00334	152	134	5	139
Q02363	PF00010	134	41	35	76
P55895	PF03089	527	338	51	389
Q16778	PF00125	126	100	2	102
Q08945	PF08512	709	88	339	427
Q9Y5B9	PF08512	1047	87	808	895
Q13303	PF00248	367	305	51	356
P33261	PF00067	490	457	30	487
P11712	PF00067	490	457	30	487
P05181	PF00067	493	456	33	489
P05177	PF00067	515	463	42	505
Q9HD26	PF00595	462	80	288	368
Q9BYG5	PF00595	372	90	157	247
Q16520	PF00170	125	63	24	87
P01160	PF00212	153	30	116	146
P16860	PF00212	134	30	98	128
P23582	PF00212	126	30	96	126
P22694	PF00069	351	254	44	298
P78371	PF00118	535	490	35	525
P49368	PF00118	545	494	33	527
P50991	PF00118	539	495	44	539
P48643	PF00118	541	493	44	537
Q99832	PF00118	543	492	32	524
P50990	PF00118	548	490	39	529
Q13888	PF04056	395	191	64	255
P61218	PF01192	127	53	51	104
P52434	PF03870	150	140	7	147
P62875	PF01194	67	58	1	59
Q13490	PF00619	618	84	458	542
Q13489	PF00619	604	84	444	528
P35237	PF00079	376	370	6	376
Q9Y2J0	PF02318	694	113	48	161
Q96T51	PF02759	708	123	147	270
Q9UKG1	PF00169	709	97	278	375
P49720	PF00227	205	185	5	190
Q15545	PF04658	349	165	12	177
P50148	PF00503	359	329	19	348
P29992	PF00503	359	332	16	348
Q13651	PF01108	578	108	3	111
P31371	PF00167	208	126	62	188
P26447	PF01023	101	42	5	47
P19838	PF12796	968	71	678	749
P15880	PF00333	293	64	102	166
P68133	PF00022	377	373	4	377
O75947	PF05873	161	152	3	155
P06576	PF02874	529	66	63	129
P25705	PF02874	553	68	67	135
P35269	PF05793	517	515	2	517
P49918	PF02234	316	50	32	82
Q8TD08	PF00069	544	291	13	304
Q06323	PF02252	249	144	103	247
Q9UL46	PF02252	239	144	93	237
Q86TB9	PF09770	770	261	465	726
Q14839	PF00385	1912	52	622	674
Q04917	PF00244	246	224	10	234
P33897	PF00005	745	143	490	633
O14732	PF00459	288	266	16	282
P52799	PF00812	333	135	29	164
P35968	PF07714	1356	326	834	1160
Q99062	PF00041	836	84	528	612
Q9NPP4	PF00619	1024	86	1	87
Q8IW41	PF00069	473	282	22	304
P29083	PF11521	439	85	354	439
P55089	PF00473	124	37	85	122
P41143	PF00001	372	252	66	318
P24844	PF13405	172	29	33	62
Q9Y2Y0	PF11527	163	114	20	134
P41236	PF04979	205	128	45	173
P01137	PF00019	390	98	291	389
Q7Z3B4	PF13874	507	138	300	438
Q99728	PF14835	777	64	41	105
Q7Z569	PF13639	592	42	262	304
P11802	PF00069	303	289	6	295
Q00534	PF00069	326	287	13	300
P14653	PF00046	301	55	205	260
Q6RFH5	PF00400	385	38	259	297
Q9NWQ8	PF15347	432	430	2	432
Q9NZ32	PF00022	417	379	10	389
Q03111	PF03366	559	81	29	110
Q9HB75	PF00531	910	83	790	873
P26992	PF00041	372	89	205	294
O43516	PF02205	503	26	29	55
Q8TF74	PF02205	440	26	34	60
O14980	PF08767	1071	318	709	1027
P51532	PF00176	1647	324	728	1052
P51531	PF00176	1590	312	710	1022
Q9H5I1	PF00385	410	49	47	96
Q9Y6R4	PF00069	1608	258	1343	1601
P31749	PF00069	480	258	150	408
Q8TDQ7	PF01182	276	230	7	237
P52907	PF01267	286	267	17	284
P47756	PF01115	277	234	6	240
Q92806	PF01007	393	325	25	350
P48544	PF01007	419	324	54	378
Q13507	PF00520	836	298	372	670
Q99962	PF03114	352	236	6	242
P04908	PF00125	130	89	2	91
P33778	PF00125	126	100	2	102
P37108	PF02290	136	90	4	94
Q5VTR2	PF13920	975	47	918	965
Q07325	PF00048	125	60	29	89
Q9P253	PF00637	973	151	620	771
Q8TAD8	PF00498	396	80	281	361
Q9NZ42	PF10251	101	92	7	99
Q96BI3	PF06105	265	237	2	239
P19086	PF00503	355	331	13	344
Q14596	PF00564	966	81	4	85
P51553	PF00180	393	326	56	382
P61006	PF00071	207	161	10	171
Q8N8S7	PF00568	591	107	1	108
Q9UI08	PF00568	416	108	1	109
Q4G0J3	PF00076	582	63	127	190
Q96NA2	PF11461	401	58	244	302
P61020	PF00071	215	161	22	183
Q9HCH5	PF02318	934	54	5	59
P82673	PF10213	323	126	141	267
Q9BV68	PF13639	326	43	227	270
Q969V5	PF13920	352	48	298	346
Q9P0P0	PF13639	153	43	74	117
Q6PCD5	PF13639	774	46	285	331
Q9Y3C5	PF13639	154	43	97	140
O43567	PF13639	381	44	238	282
Q86XS8	PF13639	419	43	262	305
Q9H6Y7	PF13639	350	44	228	272
Q96BH1	PF05773	459	109	16	125
Q9Y4L5	PF13639	304	43	226	269
Q8ND25	PF13639	227	41	182	223
Q96EQ8	PF13923	232	39	36	75
P14373	PF15227	513	40	16	56
Q9NVW2	PF13639	624	43	568	611
Q96EP1	PF13923	664	39	303	342
O60291	PF13920	552	49	274	323
Q9Y577	PF15227	477	49	16	65
Q9BZY9	PF15227	425	40	16	56
P08134	PF00071	193	173	7	180
P15153	PF00071	192	173	5	178
Q99593	PF00907	518	182	56	238
O60566	PF00069	1050	157	816	973
P62330	PF00025	175	172	1	173
P61923	PF01217	177	141	12	153
P62308	PF01423	76	65	7	72
Q13472	PF01751	1001	145	36	181
Q9Y294	PF04729	204	153	1	154
O43741	PF04739	272	70	201	271
Q86Y82	PF05739	276	52	214	266
P46459	PF02359	744	80	5	85
Q9NQS3	PF07686	549	106	61	167
Q99733	PF00956	375	273	65	338
Q9C000	PF00619	1473	83	1379	1462
Q9HC62	PF02902	589	179	409	588
P23443	PF00069	525	261	91	352
O75821	PF00076	320	69	241	310
P39023	PF00297	403	374	1	375
Q8WWB3	PF05186	177	41	1	42
Q96IM9	PF05186	177	41	1	42
Q9P0L1	PF02023	754	89	50	139
Q8NF99	PF02023	534	89	46	135
Q9BXF6	PF09457	653	47	601	648
Q8WUM0	PF03177	1156	426	594	1020
P52948	PF12110	1817	291	1332	1623
Q14738	PF01603	602	410	103	513
Q9GZZ9	PF00899	404	257	53	310
Q9Y281	PF00241	166	141	11	152
P60981	PF00241	165	127	24	151
Q5JVF3	PF01399	399	111	277	388
O00231	PF01399	422	104	285	389
Q6ZN04	PF13920	569	50	514	564
Q9BY78	PF13920	433	52	376	428
Q68DV7	PF13639	783	43	270	313
Q9NZS9	PF15227	450	39	34	73
Q8WVD3	PF13923	245	40	17	57
Q8N9I9	PF13923	347	39	163	202
Q8NHG8	PF13639	242	41	197	238
P53367	PF06456	373	227	121	348
Q59EK9	PF02759	446	128	60	188
P50539	PF00010	228	52	68	120
Q8IWI9	PF00010	3026	51	2385	2436
O15234	PF09405	703	110	139	249
Q9BRP8	PF09282	204	25	13	38
Q07960	PF00620	439	148	260	408
Q8N4C7	PF00804	294	197	47	244
Q9H4L4	PF02902	574	172	400	572
O43747	PF01602	822	551	23	574
Q969L4	PF01423	123	65	19	84
O95777	PF01423	96	69	3	72
Q6WKZ4	PF09457	1283	47	1226	1273
P60866	PF00338	119	94	21	115
Q9Y570	PF12697	386	283	79	362
Q16537	PF01603	467	405	48	453
Q13362	PF01603	524	410	27	437
Q9HAV4	PF08389	1204	162	109	271
Q92973	PF03810	898	68	41	109
P49815	PF02145	1807	188	1561	1749
O94822	PF13639	1766	49	1713	1762
Q9BZR9	PF15227	551	40	15	55
